siteName,siteCode,Date,PM2.5,PM10,NO2,NH3,SO2,Ozone,AQI
Ashok Vihar,1420,2018-02-08,236.96,405.79,109.97,31.45,11.2,33.42,519
Ashok Vihar,1420,2018-02-09,250.46,423.21,79.4,33.55,13.24,39.28,533
Ashok Vihar,1420,2018-02-10,269.71,498.88,183.86,22.66,7.16,44.46,591
Ashok Vihar,1420,2018-02-11,146.42,315.46,41.84,36.72,8.38,42.96,450
Ashok Vihar,1420,2018-02-12,82.08,199.92,23.24,34.8,4.43,37.89,361
Ashok Vihar,1420,2018-02-13,140.83,223.67,35.81,42.94,6.75,42.24,379
Ashok Vihar,1420,2018-02-14,93.0,189.38,27.93,29.37,7.75,31.47,353
Ashok Vihar,1420,2018-02-15,113.46,210.12,30.23,32.93,10.0,32.98,369
Ashok Vihar,1420,2018-02-16,157.04,265.29,39.65,36.1,11.02,34.4,411
Ashok Vihar,1420,2018-02-17,177.21,315.96,37.27,36.0,10.69,31.54,450
Ashok Vihar,1420,2018-02-18,178.42,309.33,60.42,33.15,8.93,41.65,445
Ashok Vihar,1420,2018-02-19,247.54,422.12,103.44,29.74,12.69,43.41,532
Ashok Vihar,1420,2018-02-20,214.58,413.04,81.21,34.34,11.48,46.3,525
Ashok Vihar,1420,2018-02-21,221.25,460.75,112.9,33.07,8.75,53.87,562
Ashok Vihar,1420,2018-02-22,194.42,404.04,53.93,46.41,10.11,43.94,518
Ashok Vihar,1420,2018-02-23,199.05,421.78,54.6,51.13,9.4,42.0,532
Ashok Vihar,1420,2018-02-24,151.32,392.52,42.43,24.9,3.39,10.52,509
Ashok Vihar,1420,2018-02-25,103.71,238.26,40.96,23.68,5.21,7.43,390
Ashok Vihar,1420,2018-02-26,75.54,190.42,34.41,35.89,8.05,35.11,354
Ashok Vihar,1420,2018-02-27,110.32,217.02,39.99,34.59,10.9,37.12,374
Ashok Vihar,1420,2018-02-28,178.64,345.41,70.61,38.01,10.8,46.47,473
Ashok Vihar,1420,2018-03-01,150.44,310.76,44.21,30.78,7.75,39.64,446
Ashok Vihar,1420,2018-03-02,180.5,305.17,36.17,33.34,5.59,51.15,442
Ashok Vihar,1420,2018-03-03,126.5,276.04,28.88,36.4,5.44,41.28,420
Ashok Vihar,1420,2018-03-04,91.58,213.88,28.99,46.28,9.92,39.74,372
Ashok Vihar,1420,2018-03-05,90.74,189.57,33.61,43.82,9.91,41.45,353
